"STAR_CODE":"Star":"distance":"EQUIVALENT TEMPERATURE":"MASS":"radius":"star luminosity":"Stellar Class"
198:"Athenry":35,61:3341:0,3:0,58:0,02:"M|2|V"
1110:"Hildaman":192,933:4428:0,8:NA:0,51:"K|3|V"
214:"Austerlitz":530,094:3791:0,6:0,74:0,44:"K|5|V"
1365:"Kiruna":430,026:2463:0,4:0,49:0,07:"M|7|V"
547:"Chitwan":173,436:NA:0,3:0,1:0,07:"M|3|V"
3067:"Kebili":969,362:2790:0,3:0,63:0,03:"M|2|V"
395:"Brisbane":427,829:2740:0,3:0,19:0,05:"M|6|V"
2246:"Satalice":260,842:NA:0,7:0,82:0,24:"K|2|V"
1002:"Green Stone":413,714:4586:0,7:0,87:0,51:"K|2|V"
766:"Ebensburg":383,58:2542:0,1:0,19:0,04:"M|7|V"
924:"Gallis":418,188:2830:0,3:0,08:0,03:"M|5|V"
1425:"Kurragin":203,261:2596:0,2:0,49:0,07:"M|4|V"
218:"Avellaneda":100,437:5528:0,9:1,13:1,09:"G|4|V"
313:"Beta Regulus":342,028:2933:0,4:0,13:0,04:"M|4|V"
2747:"Westerhand":276,138:3773:0,6:0,87:0,45:"K|3|V"
3134:"Fylovar":672,878:2897:0,1:0,43:0,06:"M|2|V"
2591:"Trznadel Cluster":485,686:5249:1:1,04:1,48:"G|5|V"
2118:"Randar":186,316:2774:0,2:0,09:0,03:"M|3|V"
1625:"Matheran":182,637:2405:0,3:0,33:0,07:"M|8|V"
1754:"Moravian":171,522:2646:0,3:0,21:0,02:"M|6|V"
1405:"Koulen":436,717:2468:0,2:0,49:0,02:"M|2|V"
2023:"Philadelphia":283,357:2967:0,4:0,65:0,03:"M|2|V"
232:"Babuyan":239,961:4648:0,5:0,78:0,42:"K|2|V"
1439:"Labrea":353,792:2705:0,4:0,42:0,01:"M|5|V"
2356:"Skye":76,743:5613:0,9:1,1:1,48:"G|4|V"
1691:"Mesartim":116,464:3811:0,6:0,89:0,47:"K|7|V"
3009:"Wismar":1269,059:4719:0,6:0,93:0,28:"K|0|V"
560:"Ciotat":171,593:2569:0,3:0,45:0,03:"M|5|V"
88:"Alphard":83,559:5772:0,8:0,97:NA:"G|2|V"
1813:"New Ålborg":461,406:3772:0,6:0,8:0,51:"K|7|V"
2173:"Rondon":727,218:2679:0,4:NA:0,02:"M|2|V"
1223:"Izar":114,389:2830:0,2:0,69:0,03:"M|5|V"
738:"Dralkig":528,922:5020:0,5:0,73:0,15:"K|0|V"
2338:"Silver":363,561:5599:1:1,07:1,08:"G|3|V"
1588:"Mangzhangdian":447,895:3925:0,6:0,72:0,44:"K|3|V"
280:"Bayis":303,857:2609:0,1:0,42:0,03:"M|4|V"
2993:"Goslar":999,013:NA:0,2:0,48:0,05:"M|0|V"
2553:"Tiruchchirappalli":463,505:2472:0,2:0,16:0,06:"M|2|V"
2266:"Scituate":236,889:2693:0,4:0,26:0,08:"M|3|V"
2284:"Setubal":241,592:2487:0,3:0,1:0,04:"M|4|V"
3117:"Midden":658,395:3294:0,2:0,64:0,02:"M|2|V"
2958:"Roche":1871,166:2711:0,2:0,44:0,07:"M|1|V"
1527:"Luanda":522,453:NA:0,5:0,78:0,46:"K|2|V"
1000:"Great X":341,879:3415:0,4:0,34:0,07:"M|1|V"
2980:"Valencia":1328,372:2477:0,1:NA:0,07:"M|3|V"
1988:"Park Place":114,805:4738:0,6:0,75:0,51:"K|2|V"
2554:"Tiruppur":346,676:2421:0,3:0,13:0,02:"M|6|V"
1441:"Lackhove":474,296:2587:0,1:0,38:0,01:"M|1|V"
2013:"Perkasie":194,354:2412:0,2:0,13:0,02:"M|7|V"
434:"Calafell":388,99:4715:0,6:0,72:0,58:"K|2|V"
2163:"Rochers":278,92:2509:0,1:0,22:0,08:"M|4|V"
864:"Ferris":597,296:2977:0,4:0,26:0,05:"M|5|V"
362:"Bone-Norman":463,592:2455:0,3:0,66:0,02:"M|8|V"
1597:"Manx":365,556:2667:0,2:0,37:0,02:"M|3|V"
272:"Bastrop":566,773:3757:0,8:0,73:0,41:"K|0|V"
1739:"Mokpo":321,189:3011:0,1:0,6:0,02:"M|3|V"
1397:"Koping Chian":215,295:2627:0,3:0,27:0,07:"M|4|V"
967:"Glenmora":290,236:3292:0,1:0,56:0,04:"M|2|V"
2711:"Waipahu":466,09:2418:0,2:0,17:0,03:"M|5|V"
2055:"Portland":516,729:3000:0,2:0,51:0,01:"M|3|V"
465:"Capella":176,33:2632:0,3:0,12:NA:"M|4|V"
1729:"Miyazaki":77,149:3031:0,2:0,2:0,01:"M|0|V"
1355:"Kimi":413,929:2598:0,2:0,22:0,05:"M|1|V"
891:"Foochow":131,957:2824:0,2:0,28:0,02:"M|6|V"
2848:"Zuhbehr":353,953:2465:0,3:0,27:NA:"M|7|V"
2563:"Tomans":228,019:4159:0,7:0,72:0,47:"K|3|V"
1782:"Myrvoll":90,342:5383:1:1,04:0,95:"G|2|V"
1835:"New Hope":117,871:2775:0,4:0,69:0,02:"M|3|V"
2696:"Viroflay":596,98:2863:0,1:0,1:0,05:"M|5|V"
2617:"Ukunela":295,225:3231:0,4:0,54:0,05:"M|3|V"
2162:"Rochelle":114,885:2875:0,2:0,69:0,08:"M|3|V"
2359:"Slocum":78,186:4107:0,5:0,8:0,1:"K|5|V"
2265:"Schwartz":461,704:2874:0,2:0,23:NA:"M|5|V"
569:"Clovis":180,192:2488:0,3:0,34:0,06:"M|5|V"
139:"Anjin Muerto":591,69:2819:0,4:0,57:0,07:"M|5|V"
1684:"Merlynpede":485,245:2529:0,3:0,21:0,04:"M|3|V"
1875:"Niops":457,325:2510:0,3:0,46:0,05:"M|1|V"
2821:"Zathras":399,333:3363:0,3:0,18:0,02:"M|1|V"
1311:"Kautokeino":394,552:2726:0,4:0,09:0,02:"M|6|V"
351:"Boara":573,029:3043:0,3:0,41:0,03:"M|1|V"
2739:"Weisau":400,274:5375:1:1,01:0,9:"G|5|V"
115:"Ambergrist":270,737:3795:0,8:0,81:0,47:"K|3|V"
422:"Butte Hold":473,261:2909:0,2:0,44:0,06:"M|3|V"
3014:"Rondane":625,241:3722:0,7:0,75:0,56:"K|0|V"
2607:"Tuscarawas":402,26:4218:0,7:0,72:0,23:"K|0|V"
2144:"Repulse":397,433:3290:0,1:0,38:0,06:"M|0|V"
1304:"Katla":346,193:2785:0,2:0,08:0,07:"M|1|V"
1956:"Otho":192,944:2938:0,1:0,39:0,06:"M|4|V"
1610:"Maripa":781,308:2487:0,4:0,17:0,01:"M|8|V"
1320:"Keihoku":373,707:4437:0,5:0,86:0,14:"K|2|V"
2451:"Swartklip":487,555:3033:0,3:0,5:0,02:"M|3|V"
467:"Capolla":42,175:2590:0,3:NA:0,03:"M|5|V"
1:"A Place":298,999:2718:0,2:0,31:0,08:"M|5|V"
2206:"Saffel":28,195:3488:0,2:0,24:0,02:"M|1|V"
1975:"Palos":134,632:3780:0,8:0,95:0,09:"K|7|V"
1295:"Karakiraz":364,621:2504:0,2:NA:0,03:"M|3|V"
932:"Gan Singh":89,881:4087:0,5:0,78:0,37:"K|3|V"
2339:"Simancas":417,603:2595:0,3:0,62:0,07:"M|1|V"
1485:"Leyda":354,159:NA:0,3:0,19:0,04:"M|5|V"
950:"Gibbs":255,686:2829:0,4:0,12:0,02:"M|2|V"
808:"Enkra":427,704:3251:0,2:0,55:0,04:"M|0|V"
1497:"Linqing":461,654:2536:0,1:0,36:0,02:"M|4|V"
233:"Bacum":329,193:3901:0,5:0,83:0,37:"K|5|V"
1784:"Naco":571,712:2424:0,4:0,51:0,05:"M|3|V"
1152:"Hun Ho":285,115:2864:0,1:0,28:0,04:"M|4|V"
2247:"Sauk City":276,604:2641:0,2:0,29:0,05:"M|3|V"
408:"Brundage":406,505:3403:0,3:0,52:0,07:"M|1|V"
2230:"Santiago":436,907:4191:0,7:0,76:0,1:"K|6|V"
2908:"Kettering":457,193:2454:0,2:0,42:0,02:"M|8|V"
878:"Fjernet":468,304:NA:0,4:0,35:0,01:"M|2|V"
684:"Delos":616,325:4445:0,5:0,71:0,43:"K|2|V"
2497:"Tatsuno":256,6:2546:0,2:0,28:0,06:"M|4|V"
731:"Donegal":242,166:2412:0,2:0,64:0,03:"M|7|V"
2931:"Circe":1619,476:3020:0,3:0,25:0,08:"M|3|V"
753:"Dunkerque":336,109:5502:0,9:1,02:1,24:"G|4|V"
442:"Calish":484,63:2514:0,3:0,12:0,03:"M|8|V"
2293:"Sharpe":217,003:2411:0,3:0,38:0,03:"M|8|V"
1861:"Newcastle":276,04:2749:0,4:0,19:0,02:"M|2|V"
572:"Colchester":305,568:5504:0,9:0,98:0,66:"G|2|V"
2016:"Persistence":419,969:3793:0,6:0,9:0,52:"K|2|V"
2856:"Addhara":531,91:3949:0,6:0,87:0,19:"K|3|V"
267:"Basantapur":462,307:2494:0,4:0,68:0,02:"M|3|V"
1292:"Kansu":90,314:4334:0,7:0,96:0,54:"K|2|V"
877:"Fjaldr":414,097:3909:0,5:0,95:0,09:"K|6|V"
1627:"Matsuida":306,882:3239:0,3:0,63:0,08:"M|2|V"
354:"Bodnath":303,338:2404:0,4:0,47:0,01:"M|2|V"
1864:"Nexus Ri":466,121:3853:0,6:0,81:0,52:"K|4|V"
1660:"Meilen":227,712:2991:0,3:0,33:0,04:"M|1|V"
729:"Domeyko":717,551:4016:0,5:0,73:0,18:"K|3|V"
